Included in Data Table?,PaperID,Expertise IV or Expert sample,Sample(s),DV,Lead Author,Year,Title,Abstract,Journal,Volume,Start Page,End Page,Database,Authors,
,398,X,Nurses,Triage,Hansen,2011,Telephone triage by nurses in primary care out-of-hours services in Norway: an evaluation study based on written case scenarios,"Background: The use of nurses for telephone-based triage in out-of-hours services is increasing in several countries. No investigations have been carried out in Norway into the quality of decisions made by nurses regarding our priority degree system. There are three levels: acute, urgent and non-urgent. Methods: Nurses working in seven casualty clinics in out-of-hours districts in Norway (The Watchtowers) were all invited to participate in a study to assess priority grade on 20 written medical scenarios validated by an expert group. 83 nurses (response rate 76%) participated in the study. A one-out-of-five sample of the nurses assessed the same written cases after 3 months (n=18, response rate 90%) as a test-retest assessment. Results: Among the acute, urgent and non-urgent scenarios, 82%, 74% and 81% were correctly classified according to national guidelines. There were significant differences in the proportion of correct classifications among the casualty clinics, but neither employment percentage nor profession or work experience affected the triage decision. The mean intraobserver variability measured by the Cohen kappa was 0.61 (CI 0.52 to 0.70), and there were significant differences in kappa with employment percentage. Casualty clinics and work experience did not affect intrarater agreement. Conclusion: Correct classification of acute and non-urgent cases among nurses was quite high. Work experience and employment percentage did not affect triage decision. The intrarater agreement was good and about the same as in previous studies performed in other countries. Kappa increased significantly with increasing employment percentage.",BMJ QUALITY & SAFETY,20,390,396,Web of Science,"Hansen, Elisabeth Holm; Hunskaar, Steinar",
9,401,X,Psychologists,faith bias,Harris,2016,Clinical judgment faith bias: Unexpected findings for psychology research and practice,"Professional psychologists sometimes make more pathological judgments for clients with socially deviant faith (high religiousness or spirituality) than for otherwise identical clients with socially normative faith (low religiousness or spirituality). This phenomenon is called clinical judgment faith bias, and this study used mathematical modeling to investigate whether this occurs in psychological practice. Previously, Harris (2011) surveyed a national random sample of 141 psychologists in clinical practice to investigate clinical judgment faith bias with a specially designed clinical vignette. The current study reanalyzed the data from Harris (2011), testing 2 alternative regression models with multivariate multiple regressions. The test of the first model was not significant; neither the faith magnitude of a vignette (ranging from low to high) nor its faith type (religious or spiritual) influenced the diagnostic or prognostic judgments of most psychologists. The analysis of the second model yielded significant results—but, unexpectedly, an inverse clinical judgment faith bias was found for the prognostic judgments of highly spiritual psychologists. The more spiritual (but not religious) psychologists were, the more they responded to socially deviant cases by making more positive prognostic judgments. Furthermore, a multicultural knowledge prognostic bias was found—the more multicultural knowledge (but not awareness) psychologists had, the more positive prognostic judgments they made for all cases. These findings are unexpected, contradict predictions, and must be interpreted with caution but suggest prognostic overshadowing, an entirely unanticipated bias in the clinical judgments of spiritual and multicultural psychologists. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Professional Psychology: Research and Practice,47,391,401,PsycARTICLES," Harris, Kevin A.
Harris
Kevin A.
Department of Psychology
University of Texas of the Permian Basin
Odessa
TX
US
harris_k@utpb.edu , Spengler, Paul M.
Spengler
Paul M.
Department of Counseling Psychology, Social Psychology, and Counseling
College of Health, Ball State University
IN
US , Gollery, Thomas J.
Gollery
Thomas J.
College of Education, Southeastern University
US",
9,403,X,counseling trainees,,Haverkamp,1993,Confirmatory bias in hypothesis testing for client-identified and counselor self-generated hypotheses,"Assessed hypothesis testing strategies exhibited by 65 counseling trainees after the trainees viewed and responded to a videotaped client–counselor interaction. Participants' hypothesis testing strategies were assessed both for a client-identified (experimenter-provided) and a counselor self-generated hypothesis about the client's problem. Results for the client-identified hypotheses failed to support either the previous finding of a strong neutral hypothesis testing strategy (e.g., D. C. Hayden, 1987; D. C. Strohmer and A. L. Chiodo, 1984) or the predicted confirmatory bias. Results for the self-generated hypotheses did reveal a strong comfirmatory tendency across 5 analog interviewing behaviors—with mean response percentages of 64% confirmatory, 21% neutral, and 15% disconfirmatory—and contradict prior research indicating that counselors do not exhibit a confirmatory bias in hypothesis testing. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Journal of Counseling Psychology,40,303,315,PsycARTICLES," Haverkamp, Beth E.
Haverkamp
Beth E.
U British Columbia, Vancouver
Canada",
,404,X,students and residents,clinical decision-making,Hedrick,2008,"The use of ""war games"" to enhance high-risk clinical decision-making in students and residents","BACKGROUND: Initial studies found that residents and students performed poorly in simple clinical scenarios. We hypothesized that repeated simulations in the ""war games"" format would improve performance.
METHODS: Participants included medical students and residents on the trauma and surgical intensive care unit (SICU) services. Subjects were given a nursing report of an unstable patient and asked to verbalize management of the situation. Responses were transcribed and graded.
RESULTS: Eighty subjects and 5 experts participated in 227 simulations. Naive medical students, postgraduate year (PGY)-1, and PGY-2+ subjects performed worse than experts (P < .05). After participation in >= 3 war games sessions, trainees' scores were similar to experts. Subjects with the least amount of clinical experience demonstrated the most improvement.
DISCUSSION: We have designed an educational system that rapidly enhances the cognitive performance of students and residents. This may represent an important tool in assessing and enhancing the competencies of medical trainees in a safe environment. (C) 2008 Elsevier Inc. All rights reserved.
",AMERICAN JOURNAL OF SURGERY,195,843,849,Web of Science,"Hedrick, Traci L.; Young, Jeffrey S.",
,405,X,Arbitrators,Cognitive illusions,Helm,2016,Are Arbitrators Human?,"Empirical research has confirmed the correctness of the legal realists’ assertion that “judges are human.” It demonstrates that judicial decisions are sometimes tainted by bias, ideology, or error. Presumably, arbitrators are “human” in that sense too, but that conclusion does not necessarily follow. Although arbitrators and judges both umpire disputes, they differ in a variety of ways. Therefore, it is possible that arbitrators’ awards are either better or worse than judges’ decisions. This article reports the results of research conducted on elite arbitrators specializing in resolving commercial disputes. Our goal was to determine whether, like judges, arbitrators are subject to three common cognitive illusions—specifically, the conjunction fallacy, the framing effect, and the confirmation bias. We also wanted to find out whether, like judges, arbitrators exhibit a tendency to rely excessively on intuition that may exacerbate the impact of cognitive illusions on their decision making. Our results reveal that “arbitrators are human,” and indicate that arbitrators perform about the same as judges in experiments designed to detect the presence of common cognitive errors and excessive reliance on intuition. This suggests that arbitrators lack an inherent advantage over judges when it comes to making high‐quality decisions. Whether the situation in which arbitrators make their awards is more conducive to sound decision making than the setting in which judges make their rulings, however, remains unclear",JOURNAL OF EMPIRICAL LEGAL STUDIES,13,666,692,Web of Science,"Helm, Rebecca K.; Wistrich, Andrew J.; Rachlinski, Jeffrey J.",
9,406,X,Nurses vs experts,Proficiency score,Henry,1991,CLINICAL DECISION-MAKING OF CRITICAL CARE NURSES MANAGING COMPUTER-SIMULATED TACHYDYSRHYTHMIAS,"The purposes of this study were to describe the clinical decision making of critical care nurses managing computer-simulatedtachydysrhythmias and to assess the major sources of error related to the management of two tachydysrhythmias: atrial flutter and ventricular tachycardia. In this descriptive study, 142 critical care nurses each completed four computerized clinical simulations (two atrial flutter and two ventricular tachycardia). Simulation performance was measured by proficiency score (comparison with expert performance), patient outcome (cure or die), and amount of data collected before the first intervention. Mean proficiency scores were 51 % for atrial flutter and 35 % for ventricular tachycardia. Thirteen percent of the atrial flutter and 35 % of the ventricular tachycardia simulations ended in patient death. Failure to recognize ventricular tachycardia and unfamiliarity with second- and third-line treatments were major sources oferror. Medication errors were the cause of death in 87 % of the simulations ending in patient death. These results document the need for emphasis on dysrhythmia management in the critical care curriculum.",HEART & LUNG,20,469,477,Web of Science,"HENRY, SB",
9,407,X,Judges,decision fairness,Heuer,2007,The role of societal benefits and fairness concerns among decision makers and decision recipients,"Four experiments examined the role of costs and benefits versus procedural and distributive justice for procedural fairness and procedural evaluations among decision makers and decision recipients. Experiments 1 and 2 examined the responses of actual judges in a 2 (high versus low benefit) × 2 (search procedure conducted respectfully versus disrespectfully) randomized factorial. In both studies judges evaluated procedures differently than is typical among samples of decision recipients: outcome concerns strongly influenced both procedural evaluations and procedural fairness while procedural concerns such as voice and respect were minimally influential. Whereas fairness concerns continued to be important among these decision makers, outcome fairness was more influential than procedural fairness. Studies 3 and 4 varied role (authority versus subordinate), procedural respect, and societal benefits. Both experiments supported our predictions that procedural criteria would dominate the procedural evaluations of subordinates whereas outcome concerns such as societal benefits would dominate the procedural evaluations of authorities. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Law and Human Behavior,31,573,610,PsycARTICLES," Heuer, Larry
Heuer
Larry
Barnard College, Columbia University
New York
NY
US
Lbh3@columbia.edu , Penrod, Steven
Penrod
Steven
Barnard College, Columbia University
New York
NY
US , Kattan, Ayelet
Kattan
Ayelet
John Jay College of Criminal Justice
New York
NY
US",
9,408,X,Psychologists with differing expertise,Diagnosis bias,Hillman,1997,Clinical psychologists' judgments of older adult patients with character pathology: Implications for practice,"The most rapidly growing segment of the U.S. population is elderly, and an increasing number of older adults are expected to seek psychological services. Concerns have previously been expressed about the impact of psychologists' attitudes toward elderly patients on their clinical practice. This exploratory study examined the diagnostic, treatment, and attitudinal responses of 186 psychologists toward a patient portrayed in a clinical vignette that varied by age (46, 66, 86 years) and pathology (depression vs. depression with borderline personality disorder). Psychologists with specialized gerontological training were more likely to make age-related diagnostic decisions and treatment recommendations. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Professional Psychology: Research and Practice,28,179,183,PsycARTICLES," Hillman, Jennifer L.
Hillman
Jennifer L.
Adelphi U
Gordon F. Derner Inst of Advanced Psychological Studies
Garden City
NY
US , Stricker, George
Stricker
George , Zweig, Richard A.
Zweig
Richard A.",
,413,X,Wicketkeepers experienced vs novice,predict ball landing position,Houlston,1993,ANTICIPATORY CUE-UTILIZATION PROCESSES AMONGST EXPERT AND NONEXPERT WICKETKEEPERS IN CRICKET,"The purpose of this investigation was to determine the nature and salience of the anticipatory cue utilization process related to wicketkeeping proficiency in cricket. Twelve male, experienced wicketkeepers were selected into expert (6) and non-expert (6) groups according to level of expertise attained. A four stage, temporal occlusion paradigm was used; the stages included pre-ball release and ball-flight information. Subjects were required to predict ball landing position. Analysis of radial, lateral and depth accuracy revealed no significant differences between experts and non-experts and confirmed the value of increased viewing time in determining terminal accuracy. Significant magnitudinal distinctions were found between depth and lateral error components regardless of level of expertise. The temporal source of these differences within and between each component implied that experienced wicktkeepers may learn to strategically select cues in a temporal order with lateral information taking precedence over depth information.",INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,24,59,73,Web of Science,"HOULSTON, DR; LOWES, R",
,414,X,Med lab technicians vs novices,Target-detection,Hoyer,2003,"Age, skill, and contextual cuing in target detection","This study examined the extent to which structural regularities inherent in visual arrays help to guide target detection and reduce age-related differences in skilled visual search performance. The target-detection performance of medical laboratory technologists in 2 age groups (M = 24.3 years and M = 49.0 years) and age-matched novices was assessed using images of bacterial morphology taken from Gram's stain photomicrographs as targets and search arrays. For skilled observers, response times were longer for middle-aged adults than for young adults except when external location cues were available, or when contextual cues inherent in the array were available to guide target detection. These results demonstrate that contextual information aids the skilled search of middle-aged experts, and suggest that contextual cuing is 1 means by which middle-aged adults can circumvent the effects of normally age-deficient processes on performance in a skilled domain. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Psychology and Aging,18,210,218,PsycARTICLES," Hoyer, William J.
Hoyer
William J.
Syracuse U
Dept of Psychology
Syracuse
NY
US
wjhoyer@mailbox.syr.edu , Ingolfsdottir, Dora
Ingolfsdottir
Dora
Syracuse U
Dept of Psychology
Syracuse
NY
US",
9,416,X,Teachers,Judgments about students with or without disability,Hurwitz,2007,The influence of test familiarity and student disability status upon teachers' judgments of students' test performance,"Two questions motivated this study: (a) Does test familiarity influence teachers' judgments of their students' test performance? and (b) Does the disability status of students influence their teachers' judgments? Teachers (n=19) judged item performances for one student with disabilities and one student without disabilities (n pairs=19) from their fourth-grade classrooms. Teachers made judgments using (a) a mathematics test from the research version of the TerraNova CTBS Multiple Assessments edition, which is similar to the large-scale achievement test administered in numerous states, and (b) classroom-based math tests. Judgment accuracy was higher (a) on classroom tests and (b) for students without disabilities. Among less accurate judgments, teachers consistently underestimated the performances of students with disabilities. Students with disabilities performed lower on both types of tests. Student test performance accounted for a significant proportion of the variance in teacher judgment accuracy. Implications of these findings for future research and practice are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",School Psychology,22,115,144,PsycARTICLES," Hurwitz, Jason T.
Hurwitz
Jason T.
School Psychology Program, University of Wisconsin
Madison
WI
US
jthurwitz@wisc.edu , Elliott, Stephen N.
Elliott
Stephen N.
Peabody College, Vanderbilt University
Nashville
TN
US
steve.elliott@vanderbilt.edu , Braden, Jeffery P.
Braden
Jeffery P.
School Psychology Program, North Carolina State University
Raleigh
NC
US",
,417,X,Skilled vs intermediate vs novice players,Confidence in judgments,Jackson,2007,"Advance visual information, awareness, and anticipation skill","The authors examined 13 skilled, 13 recreational, and 11 novice players awareness of the advance visual information that they used to judge tennis serve direction. Participants viewed video clips of serve actions under 5 conditions of spatial occlusion. The authors assessed participants' awareness by comparing the different groups' confidence associated with correct and incorrect judgement and by conducting a postexperiment free-recall test. The results indicated that information from the ball toss and the arm + racquet region underpinned players' anticipation skill and that greater expertise was accompained by increasinly awareness of the information on which judgments were based. The authors discuss the implications of the present results for researchers' use of confidence ratings to assess awareness in perceptual-judgment tasks.",JOURNAL OF MOTOR BEHAVIOR,39,341,351,Web of Science,"Jackson, Robin C.; Mogan, Peter",
,418,X,layperson vs professional,Decision about criminals,Jackson,1988,Lay and professional perceptions of dangerousness and other forensic issues,"10 laypersons and 24 professionals viewed 8 videotapes of actual psychiatric interviews and were asked to make decisions concerning the dangerousness, mental illness, treatability, and criminal responsibility of accused criminals. Ss also indicated their confidence in these decisions. Responses were similar for all groups for all decisions except treatability; however, confidence levels were highest for psychiatrists and lawyers. Findings suggest that Ss were comfortable making these decisions. It is concluded that the confidence with which experts deliver testimony may bias courts toward their opinions, which may not differ from those of laypersons. (French abstract) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Canadian Journal of Criminology,30,215,229,PsycINFO ," Jackson, Margaret W.
Jackson
Margaret W.
Simon Fraser U, School of Criminology, Burnaby, BC
Canada",
9,421,X,mental health professionals,assessments,Jenkins,2016,A randomized controlled trial of cognitive debiasing improves assessment and treatment selection for pediatric bipolar disorder,"Objective: This study examined the efficacy of a new cognitive debiasing intervention in reducing decision-making errors in the assessment of pediatric bipolar disorder (PBD). Method: The study was a randomized controlled trial using case vignette methodology. Participants were 137 mental health professionals working in different regions of the United States (M = 8.6 ± 7.5 years of experience). Participants were randomly assigned to a (a) brief overview of PBD (control condition), or (b) the same brief overview plus a cognitive debiasing intervention (treatment condition) that educated participants about common cognitive pitfalls (e.g., base-rate neglect, search satisficing) and taught corrective strategies (e.g., mnemonics, Bayesian tools). Both groups evaluated 4 identical case vignettes. Primary outcome measures were clinicians’ diagnoses and treatment decisions. The vignette characters’ race or ethnicity was experimentally manipulated. Results: Participants in the treatment group showed better overall judgment accuracy, p &lt; .001, and committed significantly fewer decision-making errors, p &lt; .001. Inaccurate and somewhat accurate diagnostic decisions were significantly associated with different treatment and clinical recommendations, particularly in cases where participants missed comorbid conditions, failed to detect the possibility of hypomania or mania in depressed youths, and misdiagnosed classic manic symptoms. In contrast, effects of patient race were negligible. Conclusions: The cognitive debiasing intervention outperformed the control condition. Examining specific heuristics in cases of PBD may identify especially problematic mismatches between typical habits of thought and characteristics of the disorder. The debiasing intervention was brief and delivered via the Web; it has the potential to generalize and extend to other diagnoses as well as to various practice and training settings. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Consulting and Clinical Psychology,84,323,333,PsycARTICLES," Jenkins, Melissa M.
Jenkins
Melissa M.
Department of Psychiatry, University of California San Diego
San Diego
CA
US , Youngstrom, Eric A.
Youngstrom
Eric A.
Department of Psychology, University of North Carolina
Chapel Hill
NC
US
eay@unc.edu",
9,422,X,Psychologists,Correct decisions,Jette,2006,Decision-making ability of physical therapists: Physical therapy intervention or medical referral,"Background and Purpose. Opponents of direct access to physical therapy argue that physical therapists may overlook serious medical conditions. More information is needed to determine the ability of physical therapists to practice safely in direct-access environments. The purpose of this study was to describe the ability of physical therapists to make decisions about the management of patients in a direct-access environment. Subjects. Of a random sample of 1,000 members of the Private Practice Section of the American Physical Therapy Association, 394 participated. Methods. A survey included 12 hypothetical case scenarios. For each case, participants determined whether they would provide intervention without referral, provide intervention and refer, or refer before intervention. The percentage of correct decisions for each group of scenarios was calculated for each participant, and participants were classified as having made correct decisions for 100% of cases or less for each group. Three sets of logistic regressions were completed to determine the characteristics of the participants in relation to the decision category. Results. The average percentages of correct decisions were 87%, 88%, and 79% for musculoskeletal, noncritical medical, and critical medical conditions, respectively. Of all participants, approximately 50% made correct decisions for all cases within each group. The odds of making 100% correct decisions if a physical therapist had an orthopedic specialization were 2.23 (95% confidence interval=1.35-3.71) for musculoskeletal conditions and 1.89 (95% confidence interval = 1.14-3.15) for critical medical conditions. Discussion and Conclusion. Physical therapists with an orthopedic specialization were almost twice as likely to make correct decisions for critical medical and musculoskeletal conditions.",PHYSICAL THERAPY,86,1619,1629,Web of Science,"Jette, Diane U.; Ardleigh, Kerry; Chandler, Kellie; McShea, Lesley",
9,424,X,Doctors,Managing adverse treatment effects,Jiwa,2014,The management of acute adverse effects of breast cancer treatment in general practice: A video-vignette study,"Background: There has been a focus recently on the use of the Internet and email to deliver education interventions to general practitioners (GPs). The treatment of breast cancer may include surgery, radiotherapy, chemotherapy, and/or hormone treatment. These treatments may have acute adverse effects. GPs need more information on the diagnosis and management of specific adverse effects encountered immediately after cancer treatment. Objective: The goal was to evaluate an Internet-based educational program developed for GPs to advise patients with acute adverse effects following breast cancer treatment. Methods: During phase 1, participants viewed 6 video vignettes of actor-patients reporting 1 of 6 acute symptoms following surgery and chemotherapy and/or radiotherapy treatment. GPs indicated their diagnosis and proposed management through an online survey program. They received feedback about each scenario in the form of a specialist clinic letter, as if the patient had been seen at a specialist clinic after they had attended the GP. This letter incorporated extracts from local guidelines on the management of the symptoms presented. This feedback was sent to the GPs electronically on the same survey platform. In phase 2, all GPs were invited to manage similar cases as phase 1. Their proposed management was compared to the guidelines. McNemar test was used to compare data from phases 1 and 2, and logistic regression was used to explore the GP characteristics that were associated with inappropriate case management. Results: A total of 50 GPs participated. Participants were younger and more likely to be female than other GPs in Australia. For 5 of 6 vignettes in phase 1, management was consistent with expert opinion in the minority of cases (6%-46%). Participant demographic characteristics had a variable effect on different management decisions in phase 1. The variables modeled explained 15%-28% of the differences observed. Diagnosis and management improved significantly in phase 2, especially for diarrhea, neutropenia, and seroma sample cases. The proportion of incorrect management responses was reduced to a minimum (25.3%-49.3%) in phase 2. Conclusions: There was evidence that providing feedback by experts on specific cases had an impact on GPs’ knowledge about how to appropriately manage acute treatment adverse effects. This educational intervention could be targeted to support the implementation of shared care during cancer treatment. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Medical Internet Research,Vo 16,125,136,PsycINFO ," Jiwa, Moyez
Jiwa
Moyez
Curtin University
Perth
WAU
Australia
m.jiwa@curtin.edu.au , Long, Anne
Long
Anne
Sydney Medical School
Sydney
NSW
Australia , Shaw, Tim
Shaw
Tim
Sydney Medical School
Sydney
NSW
Australia , Pagey, Georgina
Pagey
Georgina
Curtin University
Perth
WAU
Australia , Halkett, Georgia
Halkett
Georgia
Curtin University
Perth
WAU
Australia , Pillai, Vinita
Pillai
Vinita
Curtin University
Perth
WAU
Australia , Meng, Xingqiong
Meng
Xingqiong
Curtin University
Perth
WAU
Australia",
9,426,X,Experts vs novices,diagnosis accuracy,Johnson,1995,Quantifying the measurement of differential diagnosis.,"Differential diagnosis is central to the work and training of all health care professionals. To develop solid differential diagnosis and skills, students required practice diagnosing numerous and varied patients. In the absence of real patients, patient simulations are commonly used to provide this range of diagnostic experiences. This study examined the benefits of interactive patient simulations on the diagnostic approaches of beginning dental students (novices) and practicing dentists (experts). The study tested the hypothesis that novices tend to use trial-and-error, while experts tend to use pattern recognition during differential diagnosis. a second goal of the study explored objective and subjective measures of a differential diagnosis approach. Seventy-five subjects comprised two treatment groups: a novice group and an expert group. Each group completed ten patient simulations and a case study test measured the diagnostic approach. A three factor MANOVA (p>0.05) was followed by univariate ANOVA's. The result indicated differences between the diagnostic approaches of experts and novices and that the subjective Ratings and the objective Maximum Decisions and Average Variation variables were the best measures of a differential diagnostic approach.",Medinfo. MEDINFO,8 Pt 2,1294,7,Web of Science,"Johnson, L A",
,427,X,baseball experts vs novices,frequency estimations,Johnson,1991,Outcome trees and baseball: A study of expertise and list-length effects,"35 baseball experts and 56 novices served as Ss. One group of Ss estimated the frequency of hits, walks, strikeouts, putouts, and ""all other"" outcomes for an average major league player in 100 times at bat. Another group estimated these event outcome frequencies in a short-list condition (S-LC; e.g., strikeouts, walks, and ""all other""). Strong list-length effects (L-LEs) were observed with novices; the frequency estimate for strikeouts, for example, was nearly twice as high in the S-LC as in the long-list condition. Experts, however, showed no L-LE, and their estimated probabilities were very near actual (normatively correct) probabilities in all conditions. It is argued that the omission effect can be overridden by strong mental representations of the family of possible events and/or clear knowledge of probabilities associated with events. L-LEs seem to result at least in part from an anchoring-and-adjustment strategy. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Organizational Behavior and Human Decision Processes,50,324,340,PsycINFO ," Johnson, Richard D.
Johnson
Richard D.
U Alberta, Faculty of Business, Edmonton
Canada , Rennie, Richard D.
Rennie
Richard D. , Wells, Gary L.
Wells
Gary L.",
,432,X,pediatricians ,correctness of diagnosis,Kanter,2010,Defining the correctness of a diagnosis: differential judgments and expert knowledge,"Approaches that use a simulated patient case to study and assess diagnostic reasoning usually use the correct diagnosis of the case as a measure of success and as an anchor for other measures. Commonly, the correctness of a diagnosis is determined by the judgment of one or more experts. In this study, the consistency of experts' judgments of the correctness of a diagnosis, and the structure of knowledge supporting their judgments, were explored using a card sorting task. Seven expert pediatricians were asked to sort into piles the diagnoses proposed by 119 individuals who had worked through a simulated patient case of Haemophilus influenzae Type B (HIB) meningitis. The 119 individuals had varying experience levels. The expert pediatricians were asked to sort the proposed diagnoses by similarity of content, and then to order the piles based on correctness, relative to the known correct diagnosis (HIB meningitis). Finally, the experts were asked to judge which piles contained correct or incorrect diagnoses. We found that, contrary to previous studies, experts shared a common conceptual framework of the diagnostic domain being considered and were consistent in how they categorized the diagnoses. However, similar to previous studies, the experts differed greatly in their judgment of which diagnoses were correct. This study has important implications for understanding expert knowledge, for scoring performance on simulated or real patient cases, for providing feedback to learners in the clinical setting, and for establishing criteria that define what is correct in studies of diagnostic error and diagnostic reasoning.",ADVANCES IN HEALTH SCIENCES EDUCATION,15,65,79,Web of Science,"Kanter, Steven L.; Brosenitsch, Teresa A.; Mahoney, John F.; Staszewski, James",
,434,X,Helpline counselors,Accuracy in diagnosis of SRB,Karver,2010,The judgment of future suicide-related behavior: Helpline counselors’ accuracy and agreement,"Background: Judging whether a youth is at risk for suicide-related behavior (SRB) is considered an extremely challenging task. There are only few studies of helpline counselors, and little is known about their ability to accurately determine the level of risk for SRB. Aims: To examine whether helpline counselors can agree on judgments of risk for SRB, and whether their judgments are consistent with youths’ actual behavior in a 6-month period following intake. Methods: 34 helpline counselors, recruited from three helplines, were studied. Information was collected on their judgments of risk for SRB for each of 45 youths over a 6-month period following initial intake. Results: Contrary to expectations, the counselors had a high rate of agreement ( k = .56), and their risk judgments could be used quite successfully (80.0% correct classification) in identifying youths who later engaged in SRB. Conclusions: Unlike most other groups represented in the decision-making literature, helpline counselors agree and are accurate in their judgments of risk for SRB. Our findings suggest that it might be beneficial to apply some of the procedures used to train helpline clinicians to other types of clinicians. Further studies of helpline clinicians are suggested. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Crisis: The Journal of Crisis Intervention and Suicide Prevention,31,272,280,PsycARTICLES," Karver, Marc S.
Karver
Marc S.
University of South Florida
Tampa
FL
US
mkarver@chuma1.cas.usf.edu , Tarquini, Sarah J.
Tarquini
Sarah J.
University of South Florida
Tampa
FL
US , Caporino, Nicole E.
Caporino
Nicole E.
University of South Florida
Tampa
FL
US",
,435,X,Expert and novice musicians and nonmusicians,memory and retention,Kauffman,1989,Memory for intact music works: The importance of music expertise and retention interval,"Examined the effects of music expertise and retention interval on memory for music. Expert and novice musicians and nonmusicians listened to pairs of musical excerpts under 2 conditions: a current phase, comprised of a number of standard/comparison-type trials, and a delayed phase, comprised of music excerpts played in later sessions compared with excerpts played in earlier sessions. Findings demonstrate that (1) music memory can be investigated in the context of intact music, (2) even nonmusicians possessed delayed memory ability for novel music well above the level of chance, (3) the outer limits of short-term memory for music did not conform well to data in the psychological literature with nonmusic stimuli, and (4) retention curves for different levels of music expertise were similar over time until one expertise level reached asymptote. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Psychomusicology: Music, Mind and Brain",8,3,20,PsycARTICLES," Kauffman, William H.
Kauffman
William H.
U Washington
US , Carlsen, James C.
Carlsen
James C.",
,436,X,Medical students vs expert consensus,Decisions regarding polypharmacy,Keijsers,2014,Structured Pharmaceutical Analysis of the Systematic Tool to Reduce Inappropriate Prescribing Is an Effective Method for Final-Year Medical Students to Improve Polypharmacy Skills: A Randomized Controlled Trial,"Medical students may not be adequately trained to prescribe appropriately to older adults with polypharmacy. This study addressed how to teach students to minimize inappropriate polypharmacy. Final-year medical students (N = 106) from two Dutch schools of medicine participated in this randomized controlled trial with a pre/posttest design. The Systematic Tool to Reduce Inappropriate Prescribing (STRIP) was used as the intervention. This medication review tool consists of five steps and is part of the Dutch multidisciplinary guideline on polypharmacy. Step two is a structured pharmaceutical analysis of drug use, assessed using six questions regarding undertreatment, ineffective treatment, overtreatment, potential adverse effects, contraindications or interactions, and dose adjustments. It is used in combination with the Screening Tool to Alert doctors to Right Treatment and the Screening Tool of Older Person's Prescriptions checklists. Students were asked to optimize the medication lists of real people, making use, or not, of the STRIP. The number of correct or potentially harmful decisions that the students made when revising the lists was determined by comparison with expert consensus. Students who used the STRIP had better scores than control students; they made more correct decisions (9.3 vs 7.0, 34%; P < .001, correlation coefficient (r) = 0.365) and fewer potentially harmful decisions (3.9 vs 5.6, -30%; P < .001, r = 0.386). E-learning did not have a different effect from that of non-E-learning methods. Students were satisfied with the method. The STRIP method is effective in helping final-year medical students improve their prescribing skills.",JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,62,1353,1359,Web of Science,"Keijsers, Carolina J. P. W.; van Doorn, Adriaan B. D.; van Kalles, Anouk; de Wildt, Dick J.; Brouwers, Jacobus R. B. J.; Van de Kamp, Henrieke J.; Jansen, Paul A. F.",
